,region,date,crime_count,snow_count
1871,Västernorrlands län,1999-12-01,12,120
1872,Västernorrlands län,2002-02-01,13,89
1873,Västernorrlands län,2005-02-01,12,332
1874,Västernorrlands län,2008-12-01,11,473
1875,Västernorrlands län,2009-03-01,12,524
1876,Västernorrlands län,2009-12-01,11,371
1877,Västernorrlands län,2010-01-01,12,483
1878,Västernorrlands län,2012-03-01,13,395
1879,Västernorrlands län,2013-03-01,11,516
1880,Västmanlands län,1999-02-01,12,70
1881,Västmanlands län,2004-03-01,13,101
1882,Västmanlands län,2005-03-01,13,184
1883,Östergötlands län,2009-03-01,23,211
1884,Skåne län,2013-12-01,632,14
1885,Skåne län,2007-11-01,612,3
1886,Hallands län,2011-11-01,156,0
1887,Skåne län,2013-11-01,676,1
1888,Skåne län,2011-12-01,673,13
1889,Skåne län,2008-11-01,692,22
1890,Blekinge län,1996-01-01,9,12
1891,Blekinge län,1997-03-01,9,2
1892,Blekinge län,2000-12-01,9,0
1893,Blekinge län,2006-03-01,9,69
1894,Blekinge län,2013-02-01,9,103
1895,Dalarnas län,1995-01-01,17,261
1896,Dalarnas län,1995-11-01,17,99
1897,Dalarnas län,1995-12-01,17,168
1898,Dalarnas län,1996-12-01,18,217
1899,Dalarnas län,1998-01-01,17,267
1900,Dalarnas län,2007-02-01,17,413
1901,Dalarnas län,2007-11-01,16,266
1902,Dalarnas län,2008-02-01,16,371
1903,Dalarnas län,2008-03-01,17,329
1904,Gävleborgs län,1999-02-01,18,120
1905,Gävleborgs län,2000-01-01,18,152
1906,Gävleborgs län,2002-01-01,17,174
1907,Gävleborgs län,2006-11-01,17,190
1908,Jämtlands län,1995-10-01,8,7
1909,Jämtlands län,2000-02-01,8,377
1910,Jämtlands län,2004-03-01,8,370
1911,Jämtlands län,2005-01-01,8,699
1912,Jämtlands län,2006-02-01,7,597
1913,Jämtlands län,2007-01-01,8,877
1914,Jämtlands län,2007-02-01,7,831
1915,Jämtlands län,2009-02-01,8,877
1916,Jämtlands län,2009-12-01,7,882
1917,Jämtlands län,2011-02-01,7,822
1918,Jämtlands län,2012-02-01,7,902
1919,Jämtlands län,2013-01-01,8,856
1920,Jämtlands län,2013-10-01,8,16
1921,Jämtlands län,2013-12-01,7,652
1922,Jämtlands län,2014-01-01,8,825
1923,Jämtlands län,2014-03-01,8,756
1924,Jämtlands län,2014-10-01,8,69
1925,Jönköpings län,1996-01-01,19,61
1926,Jönköpings län,1997-02-01,19,52
1927,Jönköpings län,1999-03-01,20,85
1928,Jönköpings län,2005-03-01,20,254
1929,Kalmar län,1995-03-01,14,10
1930,Kalmar län,1996-12-01,14,77
1931,Kalmar län,2006-01-01,15,270
1932,Kalmar län,2006-02-01,15,242
1933,Kalmar län,2006-10-01,15,2
1934,Kalmar län,2007-01-01,15,119
1935,Kronobergs län,2006-03-01,11,175
1936,Norrbottens län,1995-10-01,16,101
1937,Norrbottens län,1999-03-01,15,479
1938,Norrbottens län,1999-12-01,15,450
1939,Norrbottens län,2005-01-01,16,982
1940,Norrbottens län,2005-02-01,14,921
1941,Norrbottens län,2006-02-01,14,998
1942,Norrbottens län,2006-10-01,15,310
1943,Norrbottens län,2006-11-01,16,1021
1944,Norrbottens län,2007-03-01,14,1140
1945,Norrbottens län,2007-11-01,16,961
1946,Norrbottens län,2008-11-01,16,777
1947,Norrbottens län,2008-12-01,14,1131
1948,Norrbottens län,2010-10-01,16,312
1949,Norrbottens län,2010-12-01,14,1152
1950,Norrbottens län,2011-03-01,16,1208
1951,Norrbottens län,2011-12-01,15,1062
1952,Norrbottens län,2012-02-01,15,1114
1953,Södermanlands län,2002-12-01,15,49
1954,Södermanlands län,2005-03-01,15,156
1955,Uppsala län,2004-02-01,17,142
1956,Uppsala län,2007-03-01,19,60
1957,Uppsala län,2009-01-01,19,131
1958,Uppsala län,2010-03-01,19,222
1959,Uppsala län,2011-02-01,21,178
1960,Värmlands län,2001-03-01,16,106
1961,Värmlands län,2013-02-01,17,452
1962,Västerbottens län,1996-11-01,15,181
1963,Västerbottens län,2002-03-01,15,250
1964,Västerbottens län,2002-12-01,16,289
1965,Västerbottens län,2003-01-01,15,302
1966,Västerbottens län,2004-01-01,15,345
1967,Västerbottens län,2004-12-01,15,689
1968,Västerbottens län,2005-02-01,16,669
1969,Västerbottens län,2005-12-01,16,704
1970,Västerbottens län,2007-03-01,16,733
1971,Västerbottens län,2008-01-01,16,779
1972,Västerbottens län,2009-01-01,15,813
1973,Västerbottens län,2010-10-01,16,255
1974,Västerbottens län,2011-01-01,16,951
1975,Västerbottens län,2012-12-01,16,958
1976,Västerbottens län,2013-10-01,15,66
1977,Västernorrlands län,1997-02-01,16,140
1978,Västernorrlands län,1998-01-01,15,135
1979,Västernorrlands län,2001-02-01,15,107
1980,Västernorrlands län,2002-01-01,15,85
1981,Västernorrlands län,2006-12-01,14,88
1982,Västernorrlands län,2011-03-01,15,526
1983,Västernorrlands län,2012-12-01,14,507
1984,Västmanlands län,1998-02-01,16,44
1985,Västmanlands län,2006-02-01,16,177
1986,Västmanlands län,2006-12-01,17,6
1987,Västmanlands län,2007-02-01,14,192
1988,Västmanlands län,2007-03-01,14,96
1989,Västra Götalands län,2001-03-01,96,235
1990,Örebro län,2008-02-01,16,64
1991,Örebro län,2008-12-01,17,99
1992,Örebro län,2011-02-01,16,283
1993,Östergötlands län,2009-01-01,26,144
1994,Blekinge län,1996-11-01,10,3
1995,Blekinge län,1997-02-01,10,7
1996,Blekinge län,2000-02-01,11,0
1997,Blekinge län,2002-01-01,11,10
1998,Blekinge län,2002-03-01,11,1
1999,Blekinge län,2005-03-01,10,54
2000,Blekinge län,2006-01-01,10,70
2001,Blekinge län,2014-03-01,11,0
2002,Dalarnas län,1995-02-01,20,212
2003,Dalarnas län,1996-11-01,19,171
2004,Dalarnas län,1997-12-01,21,244
2005,Dalarnas län,1998-03-01,21,177
2006,Dalarnas län,1999-03-01,19,262
2007,Dalarnas län,2004-01-01,18,368
2008,Dalarnas län,2005-01-01,20,230
2009,Dalarnas län,2006-03-01,20,427
2010,Dalarnas län,2007-03-01,18,315
2011,Dalarnas län,2011-12-01,18,327
2012,Dalarnas län,2013-01-01,20,530
2013,Dalarnas län,2013-03-01,19,527
2014,Gotlands län,1996-11-01,4,13
2015,Gotlands län,1997-02-01,4,57
2016,Gotlands län,1998-01-01,4,51
2017,Gotlands län,2000-03-01,4,42
2018,Gotlands län,2003-03-01,4,43
2019,Gotlands län,2004-12-01,4,24
2020,Gotlands län,2006-11-01,4,23
2021,Gotlands län,2007-02-01,4,128
2022,Gotlands län,2008-01-01,4,50
2023,Gotlands län,2008-02-01,4,32
2024,Gotlands län,2008-03-01,4,59
2025,Gotlands län,2008-12-01,4,31
2026,Gotlands län,2009-03-01,4,79
2027,Gotlands län,2010-11-01,4,45
2028,Gävleborgs län,1995-01-01,19,131
2029,Gävleborgs län,1995-02-01,21,84
2030,Gävleborgs län,1997-03-01,19,23
2031,Gävleborgs län,1997-12-01,20,138
2032,Gävleborgs län,1998-02-01,21,113
2033,Gävleborgs län,1998-03-01,20,95
2034,Gävleborgs län,1999-01-01,19,142
2035,Gävleborgs län,1999-03-01,19,145
2036,Gävleborgs län,1999-10-01,19,1
2037,Gävleborgs län,2005-01-01,18,213
2038,Gävleborgs län,2010-01-01,19,573
2039,Gävleborgs län,2010-02-01,18,528
2040,Gävleborgs län,2011-01-01,19,522
2041,Gävleborgs län,2011-02-01,20,406
2042,Gävleborgs län,2012-01-01,20,470
2043,Gävleborgs län,2013-02-01,19,500
2044,Jämtlands län,1995-12-01,10,100
2045,Jämtlands län,1996-10-01,10,2
2046,Jämtlands län,1997-10-01,10,71
2047,Jämtlands län,1997-11-01,9,242
2048,Jämtlands län,1998-10-01,9,65
2049,Jämtlands län,2000-10-01,9,38
2050,Jämtlands län,2004-11-01,9,367
2051,Jämtlands län,2004-12-01,9,689
2052,Jämtlands län,2005-03-01,9,710
2053,Jämtlands län,2014-02-01,9,795
2054,Jönköpings län,1995-01-01,23,181
2055,Jönköpings län,1996-03-01,23,58
2056,Jönköpings län,2000-03-01,23,45
2057,Jönköpings län,2001-03-01,23,71
2058,Jönköpings län,2005-10-01,24,2
2059,Jönköpings län,2006-10-01,23,2
2060,Jönköpings län,2006-12-01,24,0
2061,Jönköpings län,2007-02-01,24,261
2062,Jönköpings län,2008-03-01,25,145
2063,Jönköpings län,2010-02-01,23,457
2064,Jönköpings län,2010-12-01,24,447
2065,Kalmar län,1998-02-01,17,52
2066,Kalmar län,1998-11-01,17,126
2067,Kalmar län,1999-02-01,17,165
2068,Kalmar län,1999-03-01,17,63
2069,Kalmar län,2001-11-01,17,30
2070,Kalmar län,2005-11-01,17,33
2071,Kalmar län,2011-02-01,17,343
2072,Kalmar län,2013-01-01,16,359
2073,Kalmar län,2013-03-01,16,364
2074,Kronobergs län,2005-11-01,13,31
2075,Norrbottens län,1995-03-01,18,413
2076,Norrbottens län,1999-01-01,19,469
2077,Norrbottens län,2000-01-01,17,463
2078,Norrbottens län,2001-10-01,17,54
2079,Norrbottens län,2004-11-01,17,650
2080,Norrbottens län,2007-02-01,17,1056
2081,Norrbottens län,2009-12-01,18,1115
2082,Norrbottens län,2012-03-01,17,1175
2083,Norrbottens län,2013-02-01,17,1027
2084,Norrbottens län,2013-03-01,17,1143
2085,Stockholms län,2000-02-01,132,64
2086,Södermanlands län,2000-02-01,19,37
2087,Södermanlands län,2000-03-01,19,29
2088,Södermanlands län,2001-03-01,19,58
2089,Uppsala län,2001-02-01,21,22
2090,Uppsala län,2002-10-01,20,0
2091,Uppsala län,2006-03-01,20,258
2092,Uppsala län,2007-02-01,22,215
2093,Uppsala län,2010-02-01,24,237
2094,Värmlands län,1996-01-01,21,82
2095,Värmlands län,1996-11-01,20,77
2096,Värmlands län,1997-02-01,19,78
2097,Värmlands län,1997-03-01,21,68
2098,Värmlands län,2006-03-01,19,406
2099,Värmlands län,2007-03-01,19,224
2100,Värmlands län,2008-03-01,18,230
2101,Värmlands län,2009-02-01,19,398
2102,Värmlands län,2010-02-01,19,447
2103,Värmlands län,2010-03-01,20,500
2104,Värmlands län,2011-12-01,18,213
2105,Västerbottens län,1998-11-01,18,208
2106,Västerbottens län,1999-01-01,18,266
2107,Västerbottens län,2000-01-01,18,216
2108,Västerbottens län,2001-03-01,18,237
2109,Västerbottens län,2005-11-01,17,215
2110,Västerbottens län,2007-12-01,17,692
2111,Västerbottens län,2009-02-01,19,746
2112,Västerbottens län,2010-11-01,18,778
2113,Västerbottens län,2013-02-01,17,875
2114,Västerbottens län,2013-12-01,19,796
2115,Västerbottens län,2014-03-01,19,832
2116,Västernorrlands län,1996-12-01,18,150
2117,Västernorrlands län,1997-01-01,19,160
2118,Västernorrlands län,1997-03-01,19,145
2119,Västernorrlands län,1997-11-01,17,83
2120,Västernorrlands län,1997-12-01,19,128
2121,Västernorrlands län,2000-01-01,18,128
2122,Västernorrlands län,2002-03-01,18,86
2123,Västernorrlands län,2003-02-01,16,88
2124,Västernorrlands län,2005-03-01,18,365
2125,Västernorrlands län,2005-12-01,18,379
2126,Västernorrlands län,2006-02-01,18,403
2127,Västernorrlands län,2007-10-01,18,9
2128,Västernorrlands län,2008-11-01,16,218
2129,Västernorrlands län,2012-01-01,16,506
2130,Västernorrlands län,2013-01-01,17,504
2131,Västernorrlands län,2014-01-01,16,384
2132,Västmanlands län,1995-11-01,19,2
2133,Västmanlands län,2011-02-01,19,172
2134,Västra Götalands län,1996-02-01,112,198
2135,Västra Götalands län,1996-03-01,111,97
2136,Västra Götalands län,1998-03-01,111,201
2137,Västra Götalands län,1998-12-01,109,302
2138,Örebro län,2001-03-01,19,146
2139,Örebro län,2004-01-01,20,232
2140,Örebro län,2004-02-01,19,191
2141,Östergötlands län,2005-03-01,29,242
2142,Östergötlands län,2005-12-01,31,181
2143,Östergötlands län,2006-02-01,29,334
2144,Östergötlands län,2007-02-01,29,282
2145,Östergötlands län,2008-11-01,28,69
2146,Östergötlands län,2010-02-01,29,496
2147,Östergötlands län,2011-02-01,32,384
2148,Östergötlands län,2011-03-01,32,224
2149,Östergötlands län,2011-10-01,28,0
2150,Östergötlands län,2012-10-01,32,7
2151,Östergötlands län,2013-02-01,29,380
2152,Blekinge län,1996-12-01,12,16
2153,Blekinge län,1997-11-01,12,0
2154,Blekinge län,2010-02-01,12,99
2155,Blekinge län,2013-03-01,12,35
2156,Dalarnas län,1996-10-01,22,0
2157,Dalarnas län,1997-02-01,22,135
2158,Dalarnas län,1998-02-01,23,184
2159,Dalarnas län,1998-10-01,22,33
2160,Dalarnas län,1999-02-01,23,169
2161,Dalarnas län,2001-03-01,23,286
2162,Dalarnas län,2002-03-01,22,269
2163,Dalarnas län,2002-12-01,22,347
2164,Dalarnas län,2005-02-01,22,310
2165,Dalarnas län,2006-11-01,21,228
2166,Dalarnas län,2007-12-01,21,290
2167,Dalarnas län,2009-11-01,21,52
2168,Dalarnas län,2013-11-01,23,43
2169,Dalarnas län,2014-11-01,21,47
2170,Gävleborgs län,1997-01-01,23,110
2171,Gävleborgs län,1997-02-01,22,96
2172,Gävleborgs län,1997-10-01,24,7
2173,Gävleborgs län,2001-01-01,21,168
2174,Gävleborgs län,2003-10-01,22,33
2175,Gävleborgs län,2004-01-01,21,193
2176,Gävleborgs län,2005-02-01,22,293
2177,Gävleborgs län,2006-01-01,22,449
2178,Gävleborgs län,2006-12-01,22,8
2179,Gävleborgs län,2007-03-01,21,326
2180,Gävleborgs län,2007-11-01,21,249
2181,Gävleborgs län,2011-03-01,22,526
2182,Gävleborgs län,2012-03-01,23,164
2183,Gävleborgs län,2013-01-01,22,513
2184,Jämtlands län,1999-11-01,11,109
2185,Jämtlands län,2006-10-01,10,242
2186,Jämtlands län,2011-11-01,10,91
2187,Jönköpings län,1995-03-01,24,51
2188,Jönköpings län,1996-02-01,25,69
2189,Jönköpings län,1996-12-01,26,116
2190,Jönköpings län,1997-03-01,25,1
2191,Jönköpings län,2001-11-01,26,31
2192,Jönköpings län,2010-01-01,28,500
2193,Kalmar län,1996-11-01,20,23
2194,Kalmar län,1997-02-01,20,51
2195,Kalmar län,1997-03-01,20,7
2196,Kalmar län,1997-11-01,20,7
2197,Kalmar län,2001-01-01,18,54
2198,Kalmar län,2001-03-01,19,100
2199,Kalmar län,2004-03-01,19,45
2200,Kalmar län,2005-03-01,19,260
2201,Kronobergs län,1995-01-01,15,23
2202,Kronobergs län,1995-03-01,15,2
2203,Kronobergs län,1995-12-01,15,26
2204,Kronobergs län,1996-01-01,14,40
2205,Kronobergs län,1996-03-01,15,36
2206,Kronobergs län,1998-02-01,14,14
2207,Kronobergs län,1998-03-01,15,14
2208,Kronobergs län,1998-12-01,14,42
2209,Kronobergs län,2001-03-01,15,25
2210,Kronobergs län,2006-10-01,14,0
2211,Kronobergs län,2013-03-01,14,156
2212,Norrbottens län,2002-01-01,20,507
2213,Norrbottens län,2003-10-01,20,155
2214,Norrbottens län,2004-01-01,19,567
2215,Norrbottens län,2004-12-01,21,973
2216,Norrbottens län,2006-12-01,19,939
2217,Norrbottens län,2008-02-01,21,1103
2218,Norrbottens län,2009-01-01,19,1151
2219,Norrbottens län,2012-10-01,20,236
2220,Stockholms län,2000-03-01,145,57
2221,Stockholms län,2001-02-01,145,66
2222,Stockholms län,2001-03-01,153,61
2223,Södermanlands län,2003-03-01,22,45
2224,Södermanlands län,2004-02-01,20,128
2225,Södermanlands län,2005-02-01,20,131
2226,Södermanlands län,2006-02-01,20,229
2227,Uppsala län,2001-03-01,25,22
2228,Uppsala län,2002-11-01,25,37
2229,Uppsala län,2003-02-01,25,104
2230,Uppsala län,2003-03-01,23,39
2231,Uppsala län,2005-10-01,23,0
2232,Uppsala län,2006-11-01,23,27
2233,Uppsala län,2008-10-01,25,0
2234,Uppsala län,2008-11-01,26,57
2235,Uppsala län,2010-01-01,26,254
2236,Uppsala län,2011-01-01,27,150
2237,Uppsala län,2011-12-01,27,33
2238,Uppsala län,2013-03-01,26,198
2239,Uppsala län,2014-03-01,29,22
2240,Uppsala län,2014-11-01,28,0
2241,Värmlands län,1995-03-01,23,85
2242,Värmlands län,1995-12-01,24,75
2243,Värmlands län,1996-12-01,23,104
2244,Värmlands län,1997-01-01,23,101
2245,Värmlands län,1998-01-01,22,110
2246,Värmlands län,1998-02-01,22,79
2247,Värmlands län,2001-01-01,23,97
2248,Värmlands län,2002-03-01,23,88
2249,Värmlands län,2004-03-01,21,200
2250,Värmlands län,2006-10-01,21,10
2251,Värmlands län,2009-03-01,22,409
2252,Värmlands län,2012-01-01,23,376
2253,Västerbottens län,2000-10-01,20,15
2254,Västerbottens län,2001-12-01,20,220
2255,Västerbottens län,2005-01-01,20,724
2256,Västerbottens län,2008-10-01,20,20
2257,Västerbottens län,2008-12-01,20,832
2258,Västerbottens län,2009-10-01,20,291
2259,Västerbottens län,2009-12-01,20,849
2260,Västerbottens län,2014-01-01,20,922
2261,Västernorrlands län,1995-01-01,21,205
2262,Västernorrlands län,1995-02-01,20,177
2263,Västernorrlands län,1996-02-01,21,67
2264,Västernorrlands län,1998-03-01,19,122
2265,Västernorrlands län,1999-02-01,21,154
2266,Västernorrlands län,1999-03-01,19,181
2267,Västernorrlands län,2000-02-01,19,124
2268,Västernorrlands län,2000-03-01,21,129
2269,Västernorrlands län,2001-12-01,19,73
2270,Västernorrlands län,2003-01-01,19,95
2271,Västernorrlands län,2004-03-01,20,105
2272,Västernorrlands län,2005-01-01,20,330
2273,Västernorrlands län,2006-01-01,19,449
2274,Västernorrlands län,2006-11-01,20,227
2275,Västernorrlands län,2007-01-01,19,402
2276,Västernorrlands län,2007-03-01,19,414
2277,Västernorrlands län,2008-02-01,20,343
2278,Västernorrlands län,2010-03-01,19,471
2279,Västmanlands län,2003-02-01,21,63
2280,Västmanlands län,2005-02-01,22,136
2281,Västmanlands län,2006-03-01,20,216
2282,Västra Götalands län,1996-01-01,127,145
2283,Västra Götalands län,1996-10-01,117,0
2284,Västra Götalands län,1997-03-01,118,4
2285,Västra Götalands län,1997-10-01,122,0
2286,Västra Götalands län,1998-02-01,112,139
2287,Västra Götalands län,1999-03-01,117,163
2288,Västra Götalands län,2000-03-01,119,130
2289,Västra Götalands län,2001-02-01,118,232
2290,Örebro län,2001-11-01,21,35
2291,Örebro län,2003-02-01,22,223
2292,Örebro län,2003-03-01,23,70
2293,Örebro län,2003-12-01,22,99
2294,Örebro län,2006-02-01,21,222
2295,Örebro län,2007-03-01,22,82
2296,Örebro län,2013-02-01,24,271
2297,Östergötlands län,1997-03-01,34,13
2298,Östergötlands län,2004-12-01,34,98
2299,Östergötlands län,2005-02-01,32,198
2300,Östergötlands län,2006-01-01,33,345
2301,Östergötlands län,2007-01-01,32,147
2302,Östergötlands län,2007-12-01,35,65
2303,Östergötlands län,2008-01-01,35,134
2304,Östergötlands län,2009-02-01,34,303
2305,Östergötlands län,2013-01-01,35,375
2306,Östergötlands län,2014-01-01,35,370
2307,Blekinge län,1995-11-01,14,2
2308,Blekinge län,1996-02-01,14,22
2309,Blekinge län,1996-03-01,14,0
2310,Blekinge län,1999-03-01,13,1
2311,Blekinge län,1999-11-01,13,5
2312,Blekinge län,2002-02-01,14,6
2313,Blekinge län,2002-10-01,14,2
2314,Blekinge län,2003-02-01,13,47
2315,Blekinge län,2004-02-01,13,16
2316,Blekinge län,2008-10-01,14,0
2317,Blekinge län,2011-01-01,14,102
2318,Dalarnas län,1995-03-01,25,235
2319,Dalarnas län,1997-01-01,26,179
2320,Dalarnas län,1997-03-01,26,63
2321,Dalarnas län,1997-11-01,27,135
2322,Dalarnas län,1998-11-01,25,184
2323,Dalarnas län,1999-01-01,24,242
2324,Dalarnas län,1999-10-01,24,2
2325,Dalarnas län,2000-02-01,26,228
2326,Dalarnas län,2001-10-01,25,2
2327,Dalarnas län,2003-01-01,25,338
2328,Dalarnas län,2004-02-01,26,343
2329,Dalarnas län,2006-01-01,25,408
2330,Dalarnas län,2006-12-01,25,39
2331,Dalarnas län,2007-01-01,26,336
2332,Dalarnas län,2009-02-01,24,447
2333,Dalarnas län,2009-12-01,25,348
2334,Dalarnas län,2011-11-01,26,16
2335,Dalarnas län,2014-02-01,26,415
2336,Gotlands län,1995-03-01,5,48
2337,Gotlands län,1997-11-01,5,36
2338,Gotlands län,1999-10-01,5,0
2339,Gotlands län,1999-11-01,5,28
2340,Gotlands län,2002-01-01,5,83
2341,Gotlands län,2002-11-01,5,35
2342,Gotlands län,2003-01-01,5,80
2343,Gotlands län,2006-01-01,5,135
2344,Gotlands län,2006-12-01,5,0
2345,Gotlands län,2011-10-01,5,0
2346,Gotlands län,2012-10-01,5,4
2347,Gävleborgs län,1995-03-01,26,115
2348,Gävleborgs län,1996-11-01,25,73
2349,Gävleborgs län,1998-01-01,26,144
2350,Gävleborgs län,1998-12-01,26,111
2351,Gävleborgs län,2000-02-01,24,89
2352,Gävleborgs län,2000-03-01,26,104
2353,Gävleborgs län,2001-11-01,25,45
2354,Gävleborgs län,2002-02-01,26,145
2355,Gävleborgs län,2003-01-01,26,168
2356,Gävleborgs län,2003-11-01,26,54
2357,Gävleborgs län,2004-02-01,24,168
2358,Gävleborgs län,2005-03-01,24,367
2359,Gävleborgs län,2006-10-01,26,8
2360,Gävleborgs län,2011-10-01,24,1
2361,Gävleborgs län,2012-02-01,24,477
2362,Gävleborgs län,2012-12-01,26,544
2363,Gävleborgs län,2013-03-01,25,508
2364,Gävleborgs län,2013-10-01,24,0
2365,Jämtlands län,1996-01-01,12,68
2366,Jämtlands län,1999-01-01,12,265
2367,Jämtlands län,2002-11-01,11,438
2368,Jämtlands län,2006-01-01,11,755
2369,Jämtlands län,2010-11-01,11,610
2370,Jämtlands län,2010-12-01,12,862
2371,Jämtlands län,2011-03-01,11,882
2372,Jämtlands län,2011-10-01,11,12
2373,Jönköpings län,1997-12-01,27,40
2374,Jönköpings län,1998-02-01,30,53
2375,Jönköpings län,1998-03-01,28,90
2376,Jönköpings län,2002-10-01,30,18
2377,Jönköpings län,2003-02-01,29,163
2378,Jönköpings län,2003-03-01,28,29
2379,Jönköpings län,2006-11-01,30,18
2380,Jönköpings län,2010-03-01,30,392
2381,Jönköpings län,2013-01-01,30,274
2382,Kalmar län,1995-02-01,23,21
2383,Kalmar län,1997-10-01,21,4
2384,Kalmar län,2001-12-01,21,80
2385,Kalmar län,2003-03-01,22,45
2386,Kalmar län,2004-10-01,20,0
2387,Kalmar län,2005-10-01,22,0
2388,Kalmar län,2007-03-01,20,66
2389,Kronobergs län,1995-02-01,16,3
2390,Kronobergs län,2004-02-01,16,25
2391,Kronobergs län,2006-11-01,17,4
2392,Norrbottens län,1999-10-01,24,21
2393,Norrbottens län,2004-02-01,23,540
2394,Norrbottens län,2004-03-01,22,592
2395,Norrbottens län,2004-10-01,23,242
2396,Norrbottens län,2005-11-01,23,513
2397,Stockholms län,1999-02-01,160,62
2398,Stockholms län,2000-01-01,159,89
2399,Stockholms län,2001-01-01,161,78
2400,Södermanlands län,2002-11-01,24,45
2401,Södermanlands län,2005-10-01,23,4
2402,Södermanlands län,2005-12-01,24,116
2403,Södermanlands län,2006-11-01,23,10
2404,Södermanlands län,2007-02-01,24,161
2405,Södermanlands län,2009-02-01,24,143
2406,Södermanlands län,2009-11-01,24,3
2407,Uppsala län,1995-02-01,26,38
2408,Uppsala län,1998-01-01,27,42
2409,Uppsala län,2000-02-01,27,9
2410,Uppsala län,2004-03-01,27,68
2411,Uppsala län,2005-02-01,28,128
2412,Uppsala län,2005-11-01,27,33
2413,Uppsala län,2014-02-01,32,46
2414,Värmlands län,1995-01-01,26,115
2415,Värmlands län,1996-02-01,26,89
2416,Värmlands län,1997-12-01,25,107
2417,Värmlands län,2000-01-01,24,88
2418,Värmlands län,2000-11-01,24,15
2419,Värmlands län,2001-10-01,24,0
2420,Värmlands län,2004-02-01,25,217
2421,Värmlands län,2005-10-01,24,29
2422,Värmlands län,2010-01-01,25,485
2423,Värmlands län,2011-11-01,25,6
2424,Västerbottens län,1998-01-01,24,190
2425,Västerbottens län,2006-12-01,22,479
2426,Västerbottens län,2013-01-01,24,982
2427,Västernorrlands län,1995-11-01,23,25
2428,Västernorrlands län,1996-11-01,22,110
2429,Västernorrlands län,1998-02-01,22,122
2430,Västernorrlands län,2001-03-01,21,114
2431,Västernorrlands län,2002-11-01,21,106
2432,Västernorrlands län,2004-01-01,21,123
2433,Västernorrlands län,2004-02-01,22,120
2434,Västernorrlands län,2008-03-01,23,397
2435,Västernorrlands län,2008-10-01,23,4
2436,Västernorrlands län,2014-03-01,23,246
2437,Västmanlands län,1998-12-01,24,86
2438,Västmanlands län,2001-02-01,24,54
2439,Västmanlands län,2002-11-01,24,39
2440,Västmanlands län,2004-11-01,23,86
2441,Västmanlands län,2007-01-01,23,106
2442,Västmanlands län,2011-03-01,23,165
2443,Västmanlands län,2014-02-01,24,120
2444,Västra Götalands län,1997-01-01,139,244
2445,Västra Götalands län,1998-01-01,130,209
2446,Västra Götalands län,1998-11-01,137,187
2447,Västra Götalands län,1999-02-01,127,193
2448,Västra Götalands län,2000-02-01,139,76
2449,Västra Götalands län,2001-01-01,139,193
2450,Västra Götalands län,2006-10-01,145,4
2451,Örebro län,1998-02-01,24,84
2452,Örebro län,2001-02-01,24,178
2453,Örebro län,2005-03-01,24,144
2454,Örebro län,2006-03-01,26,242
2455,Örebro län,2007-02-01,24,216
2456,Örebro län,2008-03-01,26,64
2457,Örebro län,2008-11-01,26,65
2458,Örebro län,2009-03-01,25,220
2459,Örebro län,2011-11-01,26,0
2460,Örebro län,2012-01-01,24,128
2461,Örebro län,2013-03-01,25,236
2462,Östergötlands län,1998-03-01,37,83
2463,Östergötlands län,2001-02-01,36,90
2464,Östergötlands län,2001-03-01,37,89
2465,Östergötlands län,2001-12-01,39,91
2466,Östergötlands län,2004-02-01,38,137
2467,Östergötlands län,2007-03-01,39,110
2468,Östergötlands län,2008-02-01,37,76
2469,Östergötlands län,2008-03-01,40,141
2470,Östergötlands län,2010-01-01,38,531
2471,Östergötlands län,2010-03-01,38,424
2472,Östergötlands län,2012-12-01,38,496
2473,Östergötlands län,2013-03-01,41,317
